,Demanda,Produccion
2020-11-19,275732,245867
2020-11-20,286536,244954
2020-11-21,285899,213139
2020-11-22,284626,239318
2020-11-23,308913,228827
2020-11-24,292152,220873
2020-11-25,287583,225674
2020-11-26,288627,220731
2020-11-27,299344,229186
2020-11-28,299166,221813
2020-11-29,316685,224565
2020-11-30,316317,229713
2020-12-01,316179,236287
2020-12-02,318568,232487
2020-12-03,324291,232797
2020-12-04,333853,238412
2020-12-05,335454,239825
2020-12-06,342407,247348
2020-12-07,341474,257013
2020-12-08,351747,250956
2020-12-09,352058,244282
2020-12-10,354117,235607
2020-12-11,360238,241254
2020-12-12,366739,241048
2020-12-13,366601,229914
2020-12-14,373481,229716
2020-12-15,378115,225599
2020-12-16,385373,222247
2020-12-17,382486,232302
2020-12-18,384947,234748
2020-12-19,387250,232773
2020-12-20,385068,243762
2020-12-21,400107,263994
2020-12-22,419351,252816
2020-12-23,416823,250551
2020-12-24,476915,252357
2020-12-25,403357,254450
2020-12-26,398932,257066
2020-12-27,400978,253611
2020-12-28,398717,257100
2020-12-29,397432,256350
2020-12-30,395777,242625
2020-12-31,395591,247303
2021-01-01,398854,249832
2021-01-02,405037,253488
2021-01-03,406001,258897
2021-01-04,404353,259925
2021-01-05,407859,256563
2021-01-06,406022,256305
2021-01-07,416400,265315
2021-01-08,415824,250163
2021-01-09,410048,246979
2021-01-10,412486,263122
2021-01-11,416401,280107
2021-01-12,422912,278105
2021-01-13,426802,268035
2021-01-14,418290,271204
2021-01-15,421703,271558
2021-01-16,412939,270906
2021-01-17,421758,267157
2021-01-18,446306,265451
2021-01-19,447156,257104
2021-01-20,444662,261876
2021-01-21,514133,263354
2021-01-22,433443,261095
2021-01-23,420410,250682
2021-01-24,411592,244063
2021-01-25,378184,258898
2021-01-26,414996,263655
2021-01-27,437452,259780
2021-01-28,417780,259097
2021-01-29,406326,250813
2021-01-30,406326,263234
2021-01-31,403046,264439
2021-02-01,397671,258896
2021-02-02,387589,262317
2021-02-03,395473,260137
2021-02-04,406162,263383
2021-02-05,400543,258133
2021-02-06,401029,253251
2021-02-07,385713,249319
2021-02-08,367860,249830
2021-02-09,348215,253516
2021-02-10,341634,249017
2021-02-11,353577,253591
2021-02-12,333476,274019
2021-02-13,319228,274869
2021-02-14,291080,272170
2021-02-15,318794,262494
2021-02-16,373945,252107
2021-02-17,372357,236877
2021-02-18,360640,255409
2021-02-19,473028,275014
2021-02-20,416444,268966
2021-02-21,381620,269612
2021-02-22,419341,264928
2021-02-23,368549,259426
2021-02-24,362425,249135
2021-02-25,364235,254860
2021-02-26,363589,253852
2021-02-27,349016,259163
2021-02-28,336906,259344
2021-03-01,324271,261353
2021-03-02,317941,261769
2021-03-03,343500,247453
2021-03-04,344890,243335
2021-03-05,333171,242392
2021-03-06,320410,248930
2021-03-07,323524,252198
2021-03-08,313559,246357
2021-03-09,288637,246048
2021-03-10,320708,240732
2021-03-11,351928,221286
2021-03-12,339184,222326
2021-03-13,306974,232757
2021-03-14,283218,231243
2021-03-15,279274,218078
2021-03-16,300143,208158
2021-03-17,306886,197202
2021-03-18,285647,222498
2021-03-19,281255,225259
2021-03-20,278143,230639
2021-03-21,279917,232129
2021-03-22,290838,230334
2021-03-23,287078,233395
2021-03-24,277380,238805
2021-03-25,265064,245129
2021-03-26,293323,243516
2021-03-27,286832,235717
2021-03-28,275858,244028
2021-03-29,274545,242793
2021-03-30,281069,228555
2021-03-31,287541,243276
2021-04-01,298174,249037
2021-04-02,282323,253407
2021-04-03,280000,252380
2021-04-04,276947,248273
2021-04-05,286827,246256
2021-04-06,300584,246975
2021-04-07,316897,250727
2021-04-08,309068,262820
2021-04-09,290280,268337
2021-04-10,293827,271550
2021-04-11,302805,258340
2021-04-12,304763,259370
2021-04-13,298461,250740
2021-04-14,312101,250059
2021-04-15,318440,241801
2021-04-16,333839,252855
2021-04-17,348732,276979
2021-04-18,363354,282555
2021-04-19,392598,289854
2021-04-20,380774,296639
2021-04-21,385272,297117
2021-04-22,390972,307291
2021-04-23,406278,318678
2021-04-24,415334,316000
2021-04-25,397724,331582
2021-04-26,395524,333124
2021-04-27,392911,325972
2021-04-28,403584,334348
2021-04-29,397250,335812
2021-04-30,397250,341320
2021-05-01,397250,339273
2021-05-02,455833,327127
2021-05-03,415282,325392
2021-05-04,427562,346250
2021-05-05,428657,334054
2021-05-06,422271,332773
2021-05-07,425414,340385
2021-05-08,441511,339399
2021-05-09,458126,344370
2021-05-10,461581,342032
2021-05-11,467984,344105
2021-05-12,481093,344269
2021-05-13,494785,346634
2021-05-14,482683,352361
2021-05-15,485142,348812
2021-05-16,487286,348812
2021-05-17,486276,348812
2021-05-18,488746,365823
2021-05-19,507098,382159
2021-05-20,534236,379027
2021-05-21,539782,379880
2021-05-22,494010,386405
2021-05-23,513107,370837
2021-05-24,490009,370793
2021-05-25,503928,374479
2021-05-26,521059,380594
2021-05-27,534221,394179
2021-05-28,530555,397905
2021-05-29,531294,393039
2021-05-30,532208,397604
2021-05-31,545549,389091
2021-06-01,541890,378345
2021-06-02,535802,386318
2021-06-03,540537,386942
2021-06-04,550486,388410
2021-06-05,547619,393799
2021-06-06,538163,405719
2021-06-07,537486,397600
2021-06-08,544316,396954
2021-06-09,532906,400211
2021-06-10,532571,413481
2021-06-11,528466,418386
2021-06-12,522003,419059
2021-06-13,541853,412403
2021-06-14,554514,406777
2021-06-15,543420,402856
2021-06-16,533992,411718
2021-06-17,543427,406893
2021-06-18,543470,421938
2021-06-19,542833,422064
2021-06-20,555932,428007
2021-06-21,560155,430479
2021-06-22,549983,374999
2021-06-23,555336,350833
2021-06-24,576674,387063
2021-06-25,581633,383354
2021-06-26,596099,385960
2021-06-27,600335,380706
2021-06-28,606064,371859
2021-06-29,618690,396499
2021-06-30,614020,361491
2021-07-01,607837,379337
2021-07-02,604028,386847
2021-07-03,596469,318594
2021-07-04,576211,402960
2021-07-05,592201,420860
2021-07-06,601862,430780
2021-07-07,607293,437469
2021-07-08,627723,443864
2021-07-09,616654,444142
2021-07-10,618097,442473
2021-07-11,617370,446452
2021-07-12,615287,451565
2021-07-13,614144,436962
2021-07-14,608133,439941
2021-07-15,613021,433458
2021-07-16,615800,439686
2021-07-17,630646,449317
2021-07-18,639327,438007
2021-07-19,652429,433614
2021-07-20,648708,427821
2021-07-21,629196,430341
2021-07-22,624942,430461
2021-07-23,639077,436393
2021-07-24,652553,433731
2021-07-25,661831,411776
2021-07-26,663909,428480
2021-07-27,643825,430320
2021-07-28,638493,433132
2021-07-29,643376,422339
2021-07-30,648860,436257
2021-07-31,643341,434579
2021-08-01,650343,439683
2021-08-02,649707,432817
2021-08-03,660785,437589
2021-08-04,663498,430937
2021-08-05,662808,429965
2021-08-06,656804,426378
2021-08-07,653953,414887
2021-08-08,653523,417876
2021-08-09,641251,398065
2021-08-10,651781,419884
2021-08-11,664606,412704
2021-08-12,662021,374306
2021-08-13,647111,397669
2021-08-14,628836,419399
